"category","protectionPolicy.name","result.status","result.error.code","host.name","asset.name","result.error.reason","result.error.extendedReason","result.error.detailedDescription","result.error.remediation"
"PROTECT","FS - FileSystem - 7 Days - Daily - Index","FAILED","ABA0001","VMPRDQCA05A.rsvgnw.local","D:\\","FS - FileSystem - 7 Days - Daily - Index: Unable to backup FILE_SYSTEM asset D:\\ on host VMPRDQCA05A.rsvgnw.local to storage target FS-noCRS.","VMPRDQCA05A.rsvgnw.local: The protection policy backup was unsuccessful because the preferred node cannot be located for the following assets : D:\\.","The protection policy backup was unsuccessful.","Contact Dell Customer Support."
"PROTECT","FS - FileSystem - 7 Days - Daily - Index","FAILED","ABA0001","VMPRDQCA06A.rsvgnw.local","D:\\","FS - FileSystem - 7 Days - Daily - Index: Unable to backup FILE_SYSTEM asset D:\\ on host VMPRDQCA06A.rsvgnw.local to storage target FS-noCRS.","VMPRDQCA06A.rsvgnw.local: The protection policy backup was unsuccessful because the preferred node cannot be located for the following assets : D:\\.","The protection policy backup was unsuccessful.","Contact Dell Customer Support."
"PROTECT","FS - Opale-Prod-Aisave","CANCELED","AERR0010","opale-prod-db.rsvgnw.local","/ordi/hop/data/aisave","Task 'Protecting File System - /ordi/hop/data/aisave - opale-prod-db.rsvgnw.local' was canceled because an identical task was still queued.","","Task was canceled because an identical task was still under queued state.","To troubleshoot this issue: 1) Review the log files to determine why the previous task is still in queued state. 2) Wait for the previous task to complete, and then retry the operation. If the issue persists, contact Dell Customer Support."
"PROTECT","NAS - 5 Years - Apps","FAILED","ABN0008","","/ifs/HVS/frontend-prod-dfs/apps/PGM","Unable to back up NAS asset  to destination because the following error occurred: Policy SU association has a bad SU reference, dataTargetId=null The job started at 2024-11-21T19:34:50.668053590Z and completed at 2024-11-21T19:34:50.791999670Z.","Backup failed due to some internal configuration, Please check the logs for more details","The backup job for this NAS asset cannot be completed because an error occurred during the operation.","To troubleshoot this issue:  ..  1) Review the log files at /var/log/brs/nasdm/nasdm.log for more details.  ..  2) Check the Protection Engine health. If there is an issue with the state of the Protection Engine, redeploy the engine.  ..  If the issue persists, contact Dell Customer Support."
"PROTECT","NAS - 5 Years - Apps","FAILED","ABN0008","","","Unable to back up NAS asset  to destination because the following error occurred: Policy SU association has a bad SU reference, dataTargetId=null The job started at 2024-11-21T19:34:50.668053590Z and completed at 2024-11-21T19:34:50.791999670Z.","Backup failed due to some internal configuration, Please check the logs for more details","The backup job for this NAS asset cannot be completed because an error occurred during the operation.","To troubleshoot this issue:  ..  1) Review the log files at /var/log/brs/nasdm/nasdm.log for more details.  ..  2) Check the Protection Engine health. If there is an issue with the state of the Protection Engine, redeploy the engine.  ..  If the issue persists, contact Dell Customer Support."
"PROTECT","NAS - 5 Years - Apps","FAILED","ABNA0019","","","Unable to complete a SNAPSHOT_AND_SLICE operation because there was no suitable backup list for asset /ifs/HVS/frontend-prod-dfs/apps/PGM. Unable to create a slice list for the backup because Failed to create slice list for backup: Failed to create slices for incremental backup with error: Failed to reconstruct slice tree from last backup, error: Failed to set generic slice for slice tree re-construction using last backup metadata, error: Failed to find root node slice for path /ifs/HVS/frontend-prod-dfs/apps/PGM/CLC/MiSeq 2024 (Archives)/MiSEq-501 Hercan.  ..  .","NAS vProxy Engine vmprdprotengi08.rsvgnw.local is unable to perform SnapshotAndSlice operation for nasShare /ifs/HVS/frontend-prod-dfs/apps/PGM.   ..    ..  Error Details:  ..   TaskId: 4cd8ceda-e862-457e-9337-1d6edb3c8558, JobId 4cd8ceda-e862-457e-9337-1d6edb3c8558   ..   NAS agent error code 'ABNA0019'. Unable to complete a 'SNAPSHOT_AND_SLICE' operation because there was no suitable backup list for asset '/ifs/HVS/frontend-prod-dfs/apps/PGM'. Unable to create a slice list for the backup because Failed to create slice list for backup: Failed to create slices for incremental backup with error: Failed to reconstruct slice tree from last backup, error: Failed to set generic slice for slice tree re-construction using last backup metadata, error: Failed to find root node slice for path /ifs/HVS/frontend-prod-dfs/apps/PGM/CLC/MiSeq 2024 (Archives)/MiSEq-501 Hercan.  ..  ..   ..  ","The asset cannot be sliced.","Retry the operation. If the issue persists, contact Dell Customer Support."
"PROTECT","Oracle - CRS","FAILED","ABO0041","vmprddbo62.infranet.lan","DANAP(DANAP_DB62)","PowerProtect Data Manager Oracle agent cannot perform the backup of the Oracle Data Guard database 'DANAP' with database ID '3891419744' because the database role is unexpected.","","The backup request is unsuccessful because the database role is not the expected role for the backup strategy configured to protect the Data Guard database.","Perform manual asset discovery on the entire Data Guard protection group and run a full backup of the new candidate database."
"PROTECT","Oracle - CRS","FAILED","ABO0041","vmprddbo62.infranet.lan","INES(INES_DB62)","PowerProtect Data Manager Oracle agent cannot perform the backup of the Oracle Data Guard database 'INES' with database ID '856654673' because the database role is unexpected.","","The backup request is unsuccessful because the database role is not the expected role for the backup strategy configured to protect the Data Guard database.","Perform manual asset discovery on the entire Data Guard protection group and run a full backup of the new candidate database."
"PROTECT","Oracle - CRS","FAILED","ABO0041","vmprddbo62.infranet.lan","PLEMPROD(PLEMPROD_DB62)","PowerProtect Data Manager Oracle agent cannot perform the backup of the Oracle Data Guard database 'PLEMPROD' with database ID '2957549222' because the database role is unexpected.","","The backup request is unsuccessful because the database role is not the expected role for the backup strategy configured to protect the Data Guard database.","Perform manual asset discovery on the entire Data Guard protection group and run a full backup of the new candidate database."
"PROTECT","Oracle - CRS","FAILED","ABO0041","vmprddbo62.infranet.lan","QCPROD(QCPROD_DB62)","PowerProtect Data Manager Oracle agent cannot perform the backup of the Oracle Data Guard database 'QCPROD' with database ID '1380892944' because the database role is unexpected.","","The backup request is unsuccessful because the database role is not the expected role for the backup strategy configured to protect the Data Guard database.","Perform manual asset discovery on the entire Data Guard protection group and run a full backup of the new candidate database."
"PROTECT","Oracle - CRS","FAILED","ABO0043","vmprddbo52.infranet.lan","DANAP(DANAP_DB52)","PowerProtect Data Manager Oracle agent cannot perform the backup for the Oracle database DANAP(DANAP_DB52) with database ID 3891419744 because of an agent host issue.","","The backup request is unsuccessful for any of the following reasons: 1) The Oracle database is unavailable. 2) The TNS name and TNS administrator details cannot be validated for the database or wallet user.","Make sure that the database is available. In case of database and wallet authentication, also make sure that the TNS name and TNS administrator details are validated. If the issue persists, contact Dell Customer Support."
"PROTECT","Oracle - CRS","FAILED","ABO0043","vmprddbo52.infranet.lan","INES(INES_DB52)","PowerProtect Data Manager Oracle agent cannot perform the backup for the Oracle database INES(INES_DB52) with database ID 856654673 because of an agent host issue.","","The backup request is unsuccessful for any of the following reasons: 1) The Oracle database is unavailable. 2) The TNS name and TNS administrator details cannot be validated for the database or wallet user.","Make sure that the database is available. In case of database and wallet authentication, also make sure that the TNS name and TNS administrator details are validated. If the issue persists, contact Dell Customer Support."
"PROTECT","Oracle - CRS","FAILED","ABO0043","vmprddbo52.infranet.lan","PLEMPROD(PLEMPROD_DB52)","PowerProtect Data Manager Oracle agent cannot perform the backup for the Oracle database PLEMPROD(PLEMPROD_DB52) with database ID 2957549222 because of an agent host issue.","","The backup request is unsuccessful for any of the following reasons: 1) The Oracle database is unavailable. 2) The TNS name and TNS administrator details cannot be validated for the database or wallet user.","Make sure that the database is available. In case of database and wallet authentication, also make sure that the TNS name and TNS administrator details are validated. If the issue persists, contact Dell Customer Support."
"PROTECT","Oracle - CRS","FAILED","ABO0043","vmprddbo52.infranet.lan","QCPROD(QCPROD_DB52)","PowerProtect Data Manager Oracle agent cannot perform the backup for the Oracle database QCPROD(QCPROD_DB52) with database ID 1380892944 because of an agent host issue.","","The backup request is unsuccessful for any of the following reasons: 1) The Oracle database is unavailable. 2) The TNS name and TNS administrator details cannot be validated for the database or wallet user.","Make sure that the database is available. In case of database and wallet authentication, also make sure that the TNS name and TNS administrator details are validated. If the issue persists, contact Dell Customer Support."
